panel,cfg_weight,block_id,anchor_target_rho,lpips_alex,dino_cosine_distance,seed_count,severity_tv,severity_surprisal,connected_components,bounding_box_area,D_desc_rate,descendant_count,first_descendant_step,maximum_seed_to_descendant_radius,descendant_connected_components,descendant_fraction_distance_le_5,split_incidence,expected_seed_count,single_seed_probability,multi_seed_probability,unconditional_lpips_alex,unconditional_dino_cosine_distance
official_cfg1,1.0,P3S_B005,0.3,0.02390005416236818,0.007378578186035156,1.5,0.025890361511643013,8.667799547569658,1.5,12.75,0.05172413793103449,3.0,31.0,9.75,3.5,0.5125,0.1838267798076656,0.20145694318091706,0.16716916889266425,0.016657610915001494,0.004393469993896937,0.0013563802674979293
official_cfg1,1.0,P3S_B005,0.5,0.05080567509867251,0.031105846166610718,1.25,0.018616604807886277,5.793937068578317,1.25,14.25,0.1016949152542373,12.0,24.0,11.25,10.5,0.296875,0.1004962137964811,0.10514564822037234,0.09596499471191411,0.004531219084566905,0.005105777986790749,0.0031260197666801628
official_cfg1,1.0,P3S_B006,0.3,0.013285638124216348,0.020910635590553284,1.0,0.015794872199547637,6.635326976143228,1.0,1.0,0.03879310344827586,2.25,31.0,6.0,2.75,0.43333333333333335,0.14881702390921647,0.16011937072355184,0.13801609361822142,0.010800930290995124,0.001977129126380702,0.003111858556636281
official_cfg1,1.0,P3S_B006,0.5,0.05650237249210477,0.06411992013454437,1.0,0.009264619834333552,7.882783726847062,1.0,1.0,0.11440677966101695,13.5,26.25,14.25,10.75,0.40340909090909094,0.08430767434510256,0.08756573997270026,0.08111946869058295,0.003188205654519714,0.004763583619790049,0.005405801345737152
official_cfg1,1.0,P3S_B007,0.3,0.006623019464313984,0.005232676863670349,1.0,0.016520196231149805,5.967833108021303,1.0,1.0,0.034482758620689655,2.0,30.666666666666668,4.75,2.5,0.625,0.1674704413119017,0.1817473147185742,0.15389138780830786,0.013579053503593888,0.0011091599925059778,0.000876318703601451
official_cfg1,1.0,P3S_B007,0.5,0.029559846414485946,0.013203680515289307,1.0,0.014024646918033169,7.296677005021187,1.0,1.0,0.0826271186440678,9.75,25.5,12.0,7.5,0.5213235294117646,0.09455952683473967,0.09866336335606513,0.09055388876387051,0.004005638070869091,0.002795165090261367,0.0012485337820028286
official_cfg1,1.0,P3S_B008,0.3,0.0129422406462254,0.011075571179389954,1.0,0.01127202126040466,8.913361677603348,1.0,1.0,0.030172413793103446,1.75,30.333333333333332,3.75,2.25,0.6666666666666666,0.16172859128601458,0.17506151945123472,0.14902980006694702,0.012698791219067697,0.002093130347798633,0.0017912365245307202
official_cfg1,1.0,P3S_B008,0.5,0.03283134219236672,0.03982013463973999,1.0,0.014388195282868882,6.303821755364868,1.0,1.0,0.09322033898305085,11.0,24.0,12.75,7.5,0.22619047619047616,0.0993551221752873,0.10392645488044572,0.09489999925465438,0.004455122920632895,0.0032619620147012604,0.0039563343421677565
official_cfg1,1.0,P3S_B009,0.3,0.008025072107557207,0.0014419406652450562,1.0,0.016174800484165898,6.015563117539811,1.0,1.0,0.034482758620689655,2.0,30.75,8.5,2.75,0.45,0.15292401200903116,0.16490073571626238,0.14149468613175692,0.011429325877274172,0.0012272262233494194,0.00022050735160824536
official_cfg1,1.0,P3S_B009,0.5,0.03427426004782319,0.033879444003105164,1.0,0.016018198384906715,8.902048656245666,1.0,1.0,0.09322033898305085,11.0,25.5,14.0,9.0,0.5130681818181818,0.10960482388907355,0.11515837692850625,0.10420505216732064,0.005399771721753015,0.0037566242364699704,0.0037133504934200707
official_cfg1,1.0,P3S_B010,0.3,0.011082871031248942,0.013304948806762695,1.0,0.01258030652226159,6.9875135345908435,1.0,1.0,0.05172413793103449,3.0,30.0,7.0,3.75,0.55,0.15918484166541258,0.17224698129919933,0.14674781439258508,0.012437027272827549,0.0017642250703075507,0.0021179461691709397
official_cfg1,1.0,P3S_B010,0.5,0.00044023943792126374,0.0008373558521270752,1.0,0.0104305951058044,4.120593875969913,1.0,1.0,0.01271186440677966,1.5,27.5,2.5,2.25,0.3,0.09271832640111943,0.09668207993390829,0.08884840552412285,0.003869920876996458,4.081826389982909e-05,7.763823321140566e-05
official_cfg1,1.0,P3S_B011,0.3,0.01687788381241262,0.026095226407051086,1.0,0.010868086439331608,7.659021716985441,1.0,1.0,0.04741379310344827,2.75,30.333333333333332,7.0,3.25,0.375,0.134255643751806,0.14339863127682512,0.12547945906331387,0.008776184688491973,0.0022659511564036418,0.0035034314201277707
official_cfg1,1.0,P3S_B011,0.5,0.07388632884249091,0.05773568153381348,1.0,0.01444217473136052,6.223697892571636,1.0,1.0,0.12076271186440678,14.25,25.25,14.0,11.0,0.4785037878787879,0.08633896662069673,0.08971756552476051,0.08303281193928645,0.003306154681410354,0.006379269279657645,0.004984839080771099
official_cfg1,1.0,P3S_B012,0.3,0.008356730657396838,0.013466805219650269,1.25,0.013412936294192261,7.138782622747177,1.25,30.0,0.05172413793103449,3.0,30.5,3.0,2.5,1.0,0.14164237684560843,0.15184256941838792,0.13187278796143362,0.00976958888417478,0.0011836671929722521,0.00190747029982811
