block_id,anchor_target_rho,lpips_alex,prediction_S0,prediction_S1,abs_error_S0,abs_error_S1,propagation_contribution,rank_y,rank_c
P3S_B004,0.5,0.07084890455007553,0.03593917707773231,0.048257661017625714,0.03490972747234322,0.022591243532449817,0.012318483939893404,297.0,243.0
P3S_B004,0.5,0.01318902987986803,0.02623326667691286,0.00806281694416593,0.01304423679704483,0.005126212935702101,-0.01817044973274693,93.0,55.0
P3S_B004,0.5,0.017013195902109146,0.028805132632867488,0.009669753737567847,0.011791936730758342,0.007343442164541299,-0.01913537889529964,119.0,45.0
P3S_B004,0.5,0.025618206709623337,0.03204491015931451,0.016992544703534545,0.006426703449691172,0.008625662006088792,-0.015052365455779964,154.0,80.0
P3S_B004,0.5,0.01951388642191887,0.025228728263125385,0.00832010763576705,0.005714841841206516,0.011193778786151819,-0.016908620627358335,125.0,69.0
P3S_B004,0.5,0.03233207017183304,0.03145727791318232,0.016696316765531148,0.0008747922586507181,0.01563575340630189,-0.014760961147651172,192.0,81.0
P3S_B004,0.5,0.04327501356601715,0.036678483273113016,0.03400576022034224,0.006596530292904135,0.00926925334567491,-0.0026727230527707757,238.0,167.0
P3S_B004,0.5,0.052112311124801636,0.034313917432198845,0.037007717723284886,0.01779839369260279,0.01510459340151675,0.0026938002910860404,263.0,193.0
P3S_B005,0.3,0.013911282643675804,0.003299894399451501,0.016023735039083983,0.010611388244224303,0.002112452395408179,0.012723840639632483,230.0,304.0
P3S_B005,0.3,0.021952999755740166,0.007863883415835016,0.020533964469404843,0.01408911633990515,0.0014190352863353226,0.012670081053569827,278.0,303.0
P3S_B005,0.3,0.0029257643036544323,0.00845449373738728,0.004682505705202216,0.005528729433732848,0.0017567414015477838,-0.003771988032185064,86.0,105.0
P3S_B005,0.3,0.005538572557270527,0.009654061635160353,0.007642140215735872,0.0041154890778898265,0.0021035676584653454,-0.002011921419424481,145.0,141.0
P3S_B005,0.3,0.004762481898069382,0.005922631518597059,0.00574618887026206,0.001160149620527677,0.000983706972192678,-0.00017644264833499915,124.0,173.0
P3S_B005,0.3,0.0077023981139063835,0.023239816950645267,0.013379814653511835,0.015537418836738884,0.005677416539605452,-0.009860002297133432,170.0,17.0
P3S_B005,0.3,0.0020362953655421734,0.014260996424250908,0.006874456167966121,0.012224701058708735,0.004838160802423948,-0.007386540256284787,62.0,45.0
P3S_B005,0.3,0.005307970102876425,0.004153979477221587,0.006295536091504678,0.0011539906256548375,0.0009875659886282532,0.0021415566142830907,141.0,214.0
