block_id,cell_id,anchor_target_rho,split_incidence,expected_seed_count,lpips_alex,unconditional_lpips_alex,dino_cosine_distance,unconditional_dino_cosine_distance,descendant_rate_cond
P2P_B015,W8_L1.00,0.7,0.09556791951132826,0.09953020372180214,0.07515486935153604,0.007182394505071987,0.03369615972042084,0.00322027188000204,0.1769005847953216
P2P_B015,W8_L1.00,0.9,0.06599672234978982,0.0677644585045313,0.18945977184921503,0.012503723959187169,0.12710973620414734,0.008388825968220139,0.3689159292035398
P2P_B016,W4_L1.00,0.3,0.9933542295951768,4.188201054096299,0.03177629364654422,0.03156511569465304,0.02134263515472412,0.021200796901651917,0.11206896551724138
P2P_B016,W4_L1.00,0.5,0.9557239318082783,2.492069203182135,0.07053177151829004,0.0674089019928633,0.04355573654174805,0.04162725978048495,0.19491525423728812
P2P_B016,W8_L1.00,0.1,0.521303334910934,0.7296797936545996,0.0041983083501691,0.0021885921439275726,0.002320915460586548,0.0012099009696501138,0.0
P2P_B016,W8_L1.00,0.3,0.206043439887868,0.22860315010707566,0.013537174323573709,0.0027892459639908495,0.007594257593154907,0.0015647469578881981,0.06681034482758622
P2P_B016,W8_L1.00,0.5,0.12465411903291901,0.1319679043456976,0.034609292983077466,0.004314190927157707,0.018568895757198334,0.0023146893420276657,0.09216101694915255
P2P_B016,W8_L1.00,0.7,0.10474990345682844,0.1095452679246999,0.08168775303056464,0.008556784243556891,0.05286630243062973,0.005537740075727959,0.17763157894736842
P2P_B016,W8_L1.00,0.9,0.06973292763992356,0.07170192123006139,0.25827597081661224,0.018010339584085832,0.12118170410394669,0.008450355003563143,0.3982300884955752
P2P_B017,W4_L1.00,0.3,0.9892538376306318,3.818239902121902,0.03383593447506428,0.03347232802927593,0.00986209511756897,0.00975611544213342,0.11637931034482758
P2P_B017,W4_L1.00,0.5,0.9753062801764739,2.840692186083874,0.05816911347210407,0.05673270168164104,0.016852647066116333,0.016436492521180887,0.125
P2P_B017,W8_L1.00,0.1,0.5372010415378801,0.7622079815514454,0.006276628409978002,0.003371811319186431,0.0020738616585731506,0.001114080642990972,0.0
P2P_B017,W8_L1.00,0.3,0.2168336375616048,0.24200762340795712,0.008781707263551652,0.0019041695299570711,0.0020763352513313293,0.00045021932534356103,0.02586206896551724
P2P_B017,W8_L1.00,0.5,0.13747366383013526,0.14632768430138335,0.03481464780634269,0.004786097188893711,0.016891896724700928,0.0023221909317848984,0.07838983050847458
P2P_B017,W8_L1.00,0.7,0.10449010894926691,0.10909222021504564,0.10294903628528118,0.010757156017671063,0.036261990666389465,0.003789019355448335,0.19736842105263158
P2P_B017,W8_L1.00,0.9,0.0655865520694815,0.0673423641984688,0.20249716192483902,0.01328109065450568,0.0721830204129219,0.004734235426844548,0.36670353982300885
P2P_B018,W4_L1.00,0.3,0.9929824520019477,4.0782698839246105,0.022178754210472107,0.022023113738263114,0.008771568536758423,0.008710013633533515,0.05603448275862069
P2P_B018,W4_L1.00,0.5,0.9153004702135509,2.102191098448289,0.039604478515684605,0.036249997807968594,0.024741679430007935,0.022646070816159204,0.09322033898305085
P2P_B018,W8_L1.00,0.1,0.49758024717085525,0.6821964223804934,0.009438096138183028,0.004696210209259405,0.004042662680149078,0.0020115490956169706,0.0
P2P_B018,W8_L1.00,0.3,0.19332847659260788,0.21305929234892362,0.011027713771909475,0.0021319711038225806,0.006435312330722809,0.0012441291292962654,0.034482758620689655
P2P_B018,W8_L1.00,0.5,0.14192530351857013,0.15142693954816533,0.03552072518505156,0.005041289703088161,0.01909603178501129,0.00271021010708799,0.0836864406779661
P2P_B018,W8_L1.00,0.7,0.09628491249680615,0.1003800971026111,0.11768134590238333,0.011330938092717355,0.06479676067829132,0.006238950431985769,0.2046783625730994
P2P_B018,W8_L1.00,0.9,0.06830607272675648,0.07021327577916826,0.2420762348920107,0.016535276905953068,0.15329953283071518,0.010471289038512624,0.44469026548672563
P2P_B019,W8_L1.00,0.1,0.5177029645895733,0.7222647650994672,0.006276063155382872,0.0032491365014931045,0.003013826906681061,0.0015602671243486086,0.0
P2P_B019,W8_L1.00,0.3,0.23968165467810254,0.27105777371319645,0.022250663372687995,0.0053330758148513084,0.012230806052684784,0.0029314998327544407,0.0625
P2P_B019,W8_L1.00,0.5,0.14698553440432482,0.15722132148727835,0.03778541320934892,0.005553909153264385,0.02523648738861084,0.003709398585302968,0.06567796610169492
