block_id,anchor_target_rho,lpips_alex,prediction_S0,prediction_S1,abs_error_S0,abs_error_S1,propagation_contribution,rank_y_within_rho,rank_c_within_rho
P2P_B000,0.7,0.061498261988162994,0.08297016183412172,0.069530084902428,0.021471899845958722,0.008031822914265005,-0.013440076931693717,179.0,174.0
P2P_B000,0.7,0.041585683822631836,0.053372955726007316,0.035620953955596585,0.01178727190337548,0.005964729867035251,-0.01775200177041073,111.0,153.0
P2P_B000,0.7,0.007049716077744961,0.053372955726007316,-0.0012013249132296067,0.046323239648262356,0.008251040990974567,-0.05457428063923692,21.0,32.0
P2P_B000,0.9,0.22355197370052338,0.22250013349072953,0.20408231245506292,0.0010518402097938473,0.019469661245460457,-0.01841782103566661,213.0,146.0
P2P_B000,0.9,0.21308276057243347,0.214252459453467,0.20513934424834185,0.0011696988810335207,0.007943416324091623,-0.009113115205125144,202.0,169.0
P2P_B000,0.9,0.1977849155664444,0.2273955481419492,0.16885590677581436,0.02961063257550481,0.02892900879063004,-0.05853964136613485,177.0,89.0
P2P_B000,0.9,0.2119266241788864,0.22212930037166886,0.23287610355735464,0.01020267619278245,0.020949479378468222,0.010746803185685772,201.0,211.0
P2P_B000,0.9,0.26411008834838867,0.22025367594450407,0.26617071927129676,0.043856412403884604,0.002060630922908091,0.045917043326792695,274.0,264.0
P2P_B000,0.9,0.20160311460494995,0.22701808647788943,0.18958991530430397,0.02541497187293948,0.012013199300645983,-0.03742817117358546,181.0,114.0
P2P_B000,0.9,0.23595428466796875,0.2285293421911316,0.2291767233302676,0.007424942476837143,0.00677756133770116,0.0006473811391359829,237.0,191.0
P2P_B000,0.9,0.21131448447704315,0.21451901908457113,0.1831869526170903,0.0032045346075279812,0.028127531859952842,-0.031332066467480824,200.0,124.0
P2P_B001,0.1,0.00851565320044756,0.013959980148203203,0.009052628874446668,0.005444326947755644,0.0005369756739991086,-0.004907351273756536,330.0,99.0
P2P_B001,0.1,0.0028670032043009996,0.013478322449818537,0.01024892785033945,0.010611319245517538,0.00738192464603845,-0.003229394599479088,161.0,127.0
P2P_B001,0.1,0.008079341612756252,0.017801324715762207,0.0076043632803233785,0.009721983103005954,0.0004749783324328738,-0.010196961435438828,323.0,51.0
P2P_B001,0.1,0.008961633779108524,0.02417691015393922,0.009524333162327953,0.015215276374830694,0.0005626993832194283,-0.014652576991611266,336.0,22.0
P2P_B001,0.1,0.0013514291495084763,-0.010193130454196522,0.002594455840666157,0.011544559603704999,0.001243026691157681,0.01278758629486268,98.0,355.0
P2P_B001,0.1,0.0003001270815730095,0.0018179429034048539,0.007095338559909688,0.0015178158218318444,0.006795211478336678,0.005277395656504834,50.0,284.0
P2P_B001,0.1,0.0037387534976005554,0.01288956802782993,0.009590954185136662,0.009150814530229374,0.005852200687536106,-0.003298613842693268,206.0,124.0
P2P_B001,0.1,0.008951589465141296,0.0017410750749809606,0.0027679139994254004,0.007210514390160336,0.006183675465715896,0.0010268389244444398,335.0,211.0
P2P_B001,0.3,0.00785057246685028,0.004592879179449706,0.0068962985184497436,0.0032576932874005746,0.0009542739484005372,0.0023034193390000374,191.0,237.0
P2P_B001,0.3,0.0023058156948536634,0.0017905739931034642,0.0004599977502787733,0.0005152417017501992,0.0018458179445748901,-0.0013305762428246909,79.0,191.0
P2P_B001,0.3,0.0020094141364097595,0.0221924945655839,0.01040892771742341,0.02018308042917414,0.008399513581013651,-0.011783566848160489,70.0,40.0
P2P_B001,0.3,0.02055910974740982,0.004158465458799429,0.010358720941376437,0.01640064428861039,0.010200388806033384,0.006200255482577008,337.0,289.0
P2P_B001,0.3,0.010636123828589916,-0.002931365934232058,0.003325897257558358,0.013567489762821974,0.007310226571031558,0.006257263191790416,243.0,293.0
P2P_B001,0.3,0.01374670211225748,0.021000375300361807,0.016136722401878675,0.007253673188104326,0.0023900202896211947,-0.004863652898483131,283.0,129.0
P2P_B001,0.3,0.01743198372423649,0.0067607822556656205,0.014673347975532776,0.010671201468570868,0.0027586357487037125,0.007912565719867155,313.0,316.0
P2P_B001,0.3,0.02267184853553772,0.01793372938893977,0.0072382474196624885,0.004738119146597948,0.015433601115875231,-0.010695481969277283,347.0,49.0
P2P_B001,0.5,0.043288666754961014,0.03862854420601386,0.024365228596535067,0.004660122548947154,0.018923438158425947,-0.014263315609478792,288.0,103.0
P2P_B001,0.5,0.013418926857411861,0.035880053932582874,0.015523132024497434,0.022461127075171013,0.0021042051670855724,-0.02035692190808544,103.0,44.0
P2P_B001,0.5,0.05440359562635422,0.01082814333269496,0.05506459015710624,0.04357545229365926,0.0006609945307520237,0.04423644682441128,327.0,369.0
P2P_B001,0.5,0.08489742130041122,0.03919634180084649,0.04978515737563742,0.045701079499564735,0.035112263924773804,0.010588815574790932,372.0,283.0
P2P_B001,0.5,0.015325714834034443,0.04484761059377729,0.016195431704239295,0.029521895759742844,0.0008697168702048522,-0.028652178889537992,126.0,7.0
P2P_B001,0.5,0.025730062276124954,0.03589083786269395,0.017136097922762335,0.010160775586568999,0.00859396435336262,-0.018754739939931618,199.0,55.0
P2P_B001,0.5,0.08223266154527664,0.03147921541444151,0.04666733831329999,0.050753446130835135,0.03556532323197665,0.015188122898858486,367.0,309.0
P2P_B001,0.5,0.013521434739232063,0.04412581435848559,0.02061082319972607,0.030604379619253524,0.007089388460494006,-0.02351499115875952,105.0,25.0
P2P_B001,0.7,0.20663237571716309,0.0915988650639978,0.12861809013171288,0.11503351065316529,0.0780142855854502,0.037019225067715086,376.0,310.0
P2P_B001,0.7,0.05185731127858162,0.08504674865810029,0.06922384352719549,0.03318943737951867,0.01736653224861387,-0.0158229051309048,146.0,164.0
P2P_B001,0.7,0.10573755204677582,0.08144576666797611,0.097164543084755,0.02429178537879971,0.008573008962020817,0.015718776416778893,287.0,261.0
P2P_B001,0.7,0.10755084455013275,0.0672858860280567,0.1249127884357146,0.04026495852207605,0.01736194388558185,0.0576269024076579,291.0,344.0
P2P_B001,0.7,0.10842578113079071,0.09156358534145789,0.10378087172009476,0.016862195789332818,0.004644909410695952,0.012217286378636866,295.0,252.0
P2P_B001,0.7,0.2067132145166397,0.07782368535168427,0.18736917088152039,0.12888952916495544,0.019344043635119323,0.10954548552983612,377.0,380.0
P2P_B001,0.7,0.11948353052139282,0.09011549309309015,0.09854604426890497,0.02936803742830267,0.020937486252487855,0.008430551175814816,314.0,241.0
P2P_B001,0.7,0.12099004536867142,0.08452565345041543,0.11854760659048358,0.036464391918255984,0.0024424387781878387,0.034021953140068145,318.0,304.0
P2P_B001,0.9,0.25216397643089294,0.2272792359482131,0.2918550543724666,0.024884740482679857,0.03969107794157367,0.06457581842425353,253.0,300.0
P2P_B001,0.9,0.04527108371257782,0.2175189306100615,0.06287520664403468,0.17224784689748368,0.017604122931456856,-0.15464372396602682,15.0,19.0
P2P_B001,0.9,0.1573038101196289,0.2134299513975177,0.1087120665840898,0.056126141277888786,0.048591743535539106,-0.10471788481342789,109.0,40.0
P2P_B001,0.9,0.23993176221847534,0.2201009242601104,0.2975699814976099,0.019830837958364933,0.05763821927913454,0.07746905723749947,241.0,320.0
P2P_B001,0.9,0.2669439911842346,0.203261262932386,0.2941417995982715,0.06368272825184862,0.027197808414036906,0.09088053666588553,277.0,333.0
P2P_B001,0.9,0.1630856841802597,0.21484419695550322,0.2091300789787673,0.051758512775243515,0.04604439479850758,-0.005714117976735933,119.0,177.0
P2P_B001,0.9,0.1044779121875763,0.21074709909176165,0.15481749608219036,0.10626918690418535,0.05033958389461407,-0.05592960300957128,50.0,93.0
P2P_B001,0.9,0.1469825953245163,0.21080978556409946,0.1459971995299336,0.06382719023958316,0.0009853957945827052,-0.06481258603416587,97.0,80.0
P2P_B002,0.1,0.011315176263451576,0.005263478188343114,0.004008151221557142,0.006051698075108462,0.007307025041894434,-0.0012553269667859718,354.0,170.0
P2P_B002,0.1,0.0008315268205478787,-0.0018186251499906075,0.007326535548627944,0.0026501519705384863,0.006495008728080065,0.009145160698618551,73.0,331.0
P2P_B002,0.1,0.003655565669760108,-0.0010895622632751123,-0.0028019977336611324,0.00474512793303522,0.00645756340342124,-0.00171243547038602,203.0,157.0
P2P_B002,0.1,0.013331037014722824,0.010250756031710662,0.0020921886645039467,0.0030802809830121625,0.011238848350218877,-0.008158567367206715,366.0,70.0
P2P_B002,0.1,0.0029457611963152885,0.013917806308506656,0.012432707841373791,0.010972045112191367,0.009486946645058503,-0.0014850984671328643,166.0,164.0
P2P_B002,0.1,0.007557057775557041,0.003052644333008628,-0.004493972118991996,0.004504413442548413,0.012051029894549037,-0.0075466164520006235,313.0,76.0
P2P_B002,0.1,0.014214975759387016,0.011309489500683167,0.0013633251043973227,0.002905486258703849,0.012851650654989694,-0.009946164396285845,371.0,56.0
P2P_B002,0.1,0.0044173928909003735,0.0031045353281478477,-0.003023206664725206,0.0013128575627525257,0.007440599555625579,-0.006127741992873054,237.0,83.0
P2P_B002,0.3,0.019834289327263832,0.012028962036899453,0.017380528021833562,0.007805327290364379,0.00245376130543027,0.005351565984934109,333.0,278.0
P2P_B002,0.3,0.012796558439731598,-0.0005827005236280075,0.006596527800201993,0.013379258963359605,0.006200030639529605,0.00717922832383,272.0,300.0
P2P_B002,0.3,0.010777854360640049,0.008678750371188988,0.006725210381632998,0.0020991039894510607,0.004052643979007051,-0.00195353998955599,247.0,179.0
P2P_B002,0.3,0.0026245154440402985,0.009349512420751771,0.007831553488845823,0.0067249969767114726,0.0052070380448055245,-0.001517958931905948,89.0,184.0
P2P_B002,0.3,0.00039878327515907586,-0.0029959555361077084,-0.0009602271235406162,0.0033947388112667842,0.001359010398699692,0.002035728412567092,33.0,232.0
P2P_B002,0.3,0.00723370723426342,0.011318681155481632,-1.7649297737731828e-06,0.0040849739212182115,0.007235472164037193,-0.011320446085255405,180.0,44.0
P2P_B002,0.3,0.005689253564924002,-0.001464533353954231,-0.0052513169539823296,0.007153786918878233,0.010940570518906331,-0.0037867836000280986,154.0,150.0
P2P_B002,0.3,0.011873212642967701,0.018047484072941357,-0.0007562275435002291,0.006174271429973656,0.01262944018646793,-0.018803711616441586,263.0,5.0
P2P_B002,0.5,0.05508580431342125,0.03248370897892277,0.04817054840940299,0.02260209533449848,0.006915255904018258,0.015686839430480222,328.0,310.0
P2P_B002,0.5,0.07874055951833725,0.04522097236150528,0.10258591307290536,0.03351958715683197,0.023845353554568113,0.05736494071140008,364.0,383.0
P2P_B002,0.5,0.02743087336421013,0.03928371255449835,0.01921848678016022,0.01185283919028822,0.008212386584049908,-0.020065225774338127,208.0,45.0
P2P_B002,0.5,0.03781026229262352,0.012540815053615963,0.022557972175009856,0.025269447239007557,0.015252290117613664,0.010017157121393894,267.0,280.0
P2P_B002,0.5,0.01796884834766388,0.02115503288084241,0.018948515462018527,0.0031861845331785307,0.0009796671143546473,-0.0022065174188238834,144.0,210.0
P2P_B002,0.5,0.04849322512745857,0.026459869083091454,0.022915044141957934,0.022033356044367118,0.02557818098550064,-0.0035448249411335203,309.0,198.0
P2P_B002,0.5,0.05004289001226425,0.0318801214252248,0.05384242261718384,0.018162768587039455,0.003799532604919588,0.021962301191959042,314.0,334.0
P2P_B002,0.5,0.021744418889284134,0.032890305881606026,0.021944598710055024,0.011145886992321892,0.00020017982077089047,-0.010945707171551002,174.0,131.0
P2P_B002,0.7,0.18910856544971466,0.07812954284091052,0.15868354840376594,0.11097902260880414,0.030425017045948716,0.08055400556285543,371.0,363.0
P2P_B002,0.7,0.04711635410785675,0.08551103816112551,0.036756211820679494,0.03839468405326876,0.010360142287177257,-0.04875482634044602,131.0,46.0
P2P_B002,0.7,0.10310711711645126,0.08959984836433568,0.08459103202442406,0.013507268752115581,0.018516085092027207,-0.005008816339911626,283.0,198.0
P2P_B002,0.7,0.07509475946426392,0.0891900264110875,0.06860731445575922,0.014095266946823587,0.006487445008504691,-0.02058271195532828,222.0,138.0
P2P_B002,0.7,0.09308299422264099,0.09102517107818411,0.05025111265630525,0.0020578231444568773,0.042831881566335744,-0.04077405842187887,265.0,75.0
P2P_B002,0.7,0.0841728150844574,0.07780458895023516,0.04098820342117131,0.006368226134222235,0.04318461166328609,-0.036816385529063855,239.0,82.0
P2P_B002,0.7,0.07472766935825348,0.08560177867919772,0.07928456297085801,0.010874109320944236,0.004556893612604529,-0.006317215708339707,220.0,195.0
P2P_B002,0.7,0.061700038611888885,0.08165241353888518,0.03959714093014195,0.019952374926996294,0.022102897681746933,-0.04205527260874323,181.0,70.0
P2P_B002,0.9,0.3141290247440338,0.2213066669782044,0.3018656385319022,0.09282235776582942,0.012263386212131633,0.08055897155369779,328.0,325.0
P2P_B002,0.9,0.33279284834861755,0.22629734112210398,0.3061762466510391,0.10649550722651357,0.026616601697578457,0.07987890552893512,341.0,324.0
P2P_B002,0.9,0.2869632840156555,0.20310293951475195,0.2414830923247247,0.08386034450090357,0.045480191690930816,0.038380152809972756,298.0,253.0
P2P_B002,0.9,0.2825027108192444,0.21508993021830347,0.2749361838090404,0.06741278060094091,0.007566527010203994,0.05984625359073692,289.0,292.0
P2P_B002,0.9,0.3083063066005707,0.20980767827007307,0.2550542873286404,0.0984986283304976,0.053252019271930295,0.04524660905856731,320.0,262.0
P2P_B002,0.9,0.412336140871048,0.20365037514920364,0.31449537634361213,0.20868576572184433,0.09784076452743584,0.11084500119440849,371.0,353.0
P2P_B002,0.9,0.32432132959365845,0.22451942264211144,0.2636638725786741,0.099801906951547,0.06065745701498437,0.03914444993656263,336.0,254.0
P2P_B002,0.9,0.23193201422691345,0.21099438338568394,0.2398327334542174,0.020937630841229515,0.007900719227303954,0.02883835006853347,228.0,236.0
P2P_B003,0.1,0.009398860856890678,0.0025254472661887656,0.0020204701317933504,0.006873413590701913,0.007378390725097328,-0.0005049771343954151,344.0,182.0
P2P_B003,0.1,0.009938271716237068,-0.0032418611444908346,0.0034207555294622077,0.013180132860727903,0.0065175161867748604,0.006662616673953042,349.0,305.0
P2P_B003,0.1,0.003581555327400565,0.02000775428231623,0.006525698371821077,0.016426198954915663,0.002944143044420512,-0.013482055910495151,201.0,27.0
P2P_B003,0.1,0.0018823568243533373,-0.007863715141302796,-4.292878372660902e-05,0.009746071965656133,0.0019252856080799463,0.007820786357576187,124.0,314.0
P2P_B003,0.1,0.007686247583478689,0.022772851128502095,-0.003870832412726982,0.015086603545023405,0.011557079996205671,-0.026643683541229077,318.0,3.0
P2P_B003,0.1,4.469327177503146e-05,-0.019412724843286808,-0.006467159689076352,0.01945741811506184,0.006511852960851383,0.012945565154210456,16.0,357.0
P2P_B003,0.1,0.0032977138180285692,-0.005605211517515529,0.0043876907682843524,0.008902925335544098,0.0010899769502557832,0.009992902285799882,186.0,337.0
P2P_B003,0.1,0.004324621520936489,0.02451380333284251,0.004997263250851099,0.020189181811906022,0.0006726417299146095,-0.019516540081991413,231.0,10.0
P2P_B003,0.3,0.018464211374521255,-0.003355036977898504,0.01682918533909089,0.02181924835241976,0.0016350260354303647,0.020184222316989395,319.0,368.0
P2P_B003,0.3,0.0009248312562704086,0.003125149339726088,-0.0012563321769057667,0.0022003180834556796,0.0021811634331761753,-0.004381481516631855,45.0,137.0
